,addressCN,brand,city,pOSNameCN,province,storeType,telephone
0,北京市朝阳区三里屯南街19号11栋楼,adidas,北京市,北京三里屯品牌中心,北京,品牌中心,010-64162233-601
1,云南昆明市青年路1号昆明剧院1楼,adidas,昆明市,昆明市青年路剧院运动休闲店,云南,运动休闲店,0871-63167979
2,云南昆明市北京路108号财富中心2楼,adidas,昆明市,昆明市北辰财富中心运动休闲店,云南,运动休闲店,0871-65620860
3,云南昆明市三市街6号柏联广场5楼,adidas,昆明市,昆明市三市街柏联百盛运动休闲店,云南,运动休闲店,0871-63627542
4,云南昆明市人民中路98号美辰百货-1楼,adidas,昆明市,昆明市美辰百货运动休闲店,云南,运动休闲店,0871-63132955
5,云南昆明市福发路27号世纪金源购物中心1楼,adidas,昆明市,昆明市世纪金源购物中心运动休闲店,云南,运动休闲店,0871-63514930
6,云南昆明市二环西路121号正大紫都风尚购物广场1楼,adidas,昆明市,昆明市二环西路正大紫都风尚购物广场运动休闲店,云南,运动休闲店,0871-65361284
7,云南昆明市东风西路99号昆明百货大楼7楼,adidas,昆明市,昆明市东风西路昆明百货大楼运动休闲店,云南,运动休闲店,0871-63519710
8,云南昆明市广福路红星爱琴海3楼,adidas,昆明市,昆明市红星爱琴海运动休闲店,云南,运动休闲店,0871-64610380
9,云南昆明市北京中路1127中汇商业广场1楼,adidas,昆明市,昆明市北京中路中汇商业广场运动休闲店,云南,运动休闲店,0871-65615353
10,云南昆明市昌源中路26号1楼,adidas,昆明市,昆明市昌源中路26号运动休闲店,云南,运动休闲店,0871-67011558
11,云南昆明市正义路62号正义坊购物中心1楼,adidas,昆明市,昆明市正义路正义坊运动休闲店,云南,运动休闲店,0871-68887871
12,云南昆明市彩云南路1号七彩云南第一城购物中心1楼,adidas,昆明市,昆明市七彩云南第一城购物中心运动休闲店,云南,运动休闲店,0871-67495524
13,云南保山市保岫西路中段10号民航商场1楼,adidas,保山市,保山市保岫西路中段民航商场滔博运动城运动休闲店,云南,运动休闲店,0875-2191766
14,云南曲靖市麒麟南路2号滔博运动城2楼,adidas,曲靖市,曲靖市麒麟南路2号运动休闲店,云南,运动休闲店,0874-3128194
15,云南普洱市林源路666号创基尚城购物中心2楼,adidas,普洱市,普洱市林源路创基尚城购物中心运动休闲店,云南,运动休闲店,0871-2133231
16,云南曲靖市麒麟南路2号花园运动城1楼,adidas,曲靖市,曲靖市麒麟南路花园运动城运动休闲店,云南,运动休闲店,0874-3131883
17,云南曲靖市麒麟南路35号百货大楼2楼,adidas,曲靖市,曲靖市麒麟南路百货大楼运动休闲店,云南,运动休闲店,0874-3338420
18,云南开远市人民中路11号1楼,adidas,开远市,开远市人民中路11号运动休闲店,云南,运动休闲店,0873-2197208
19,云南昆明市青年路418金鹰购物广场B座4楼,adidas,昆明市,昆明市青年路金鹰购物广场B座运动休闲店,云南,运动休闲店,0871-65385032
20,云南昆明市青年路123号攀成百货2楼,adidas,昆明市,昆明市青年路攀成百货运动休闲店,云南,运动休闲店,0871-63132881
21,云南昆明市五华青年路123号攀昆大厦3楼,adidas,昆明市,昆明市青年路攀昆大厦西博运动城运动表现店,云南,运动表现店,0871-63130126
22,云南昆明市青年路昆明剧院1楼,adidas,昆明市,昆明市青年路剧院运动表现店,云南,运动表现店,0871-63165753
23,云南昆明市北京路北辰财富中心1楼,adidas,昆明市,昆明市北京路北辰财富中心运动表现店,云南,运动表现店,0871-65620979
24,云南昆明市东风西路百大新纪元7楼,adidas,昆明市,昆明市东风西路百大运动表现店,云南,运动表现店,0871-63642190
25,云南昆明市青年路327号青年路街铺1楼,adidas,昆明市,昆明市青年路327号运动表现店,云南,运动表现店,0871-63125303
26,云南昆明市崇仁街11号顺城购物中心1楼,adidas,昆明市,昆明市顺城购物中心运动表现店,云南,运动表现店,0871-63639419
27,云南昆明市福发路27号万尚百货1楼,adidas,昆明市,昆明市金源时代购物中心万尚百货运动表现店,云南,运动表现店,0871-67351496
28,云南昆明市二环西路正大紫都城1楼,adidas,昆明市,昆明市二环西路正大紫都城运动表现店,云南,运动表现店,0871-65329693
29,云南昆明市北京中路1127号中汇商业广场1楼,adidas,昆明市,昆明市北京中路中汇商业广场运动表现店,云南,运动表现店,0871-65821072
30,云南昆明市正义路62号正义坊购物中心1楼,adidas,昆明市,昆明市正义路正义坊运动表现店,云南,运动表现店,0871-68887891
31,云南昆明市彩云南路1号七彩云南第一城购物中心1楼,adidas,昆明市,昆明市七彩云南第一城购物中心运动表现店,云南,运动表现店,0871-67494189
32,云南昆明市青年路379号青年路1楼,adidas,昆明市,昆明市青年路运动表现店,云南,运动表现店,0871-64604156
33,云南昆明市霖雨路268号嘉年华购物中心1楼,adidas,昆明市,昆明市嘉年华购物中心运动表现店,云南,运动表现店,0871-65847725
34,云南昆明市滇池路569号南亚风情第一城3楼,adidas,昆明市,昆明市滇池路南亚风情第一城运动表现店,云南,运动表现店,0871-63516045
35,云南昆明市威远街168金鹰购物广场B座4楼,adidas,昆明市,昆明市威远街金鹰购物广场B座运动表现店,云南,运动表现店,0871-65651672
36,云南昆明市东风路7号王府井购物中心5楼,adidas,昆明市,昆明市东风路王府井购物中心运动表现店,云南,运动表现店,0871-63133229
37,云南昆明市广福路红星爱琴海2楼,adidas,昆明市,昆明市红星爱琴海运动表现店,云南,运动表现店,0871-65229930
38,安徽凤阳县文昌街,adidas,凤阳县,凤阳县文昌街运动表现店,安徽,运动表现店,0550-6718022
39,山西翼城县解放路1楼,adidas,翼城县,翼城县解放路运动表现店,山西,运动表现店,15503574481
40,河北蔚县前进路1楼,adidas,蔚县,蔚县前进路运动表现店,河北,运动表现店,13784576766
41,重庆重庆市步行街7号世纪新都6楼,adidas,重庆市,重庆市世纪新都三叶草,重庆,三叶草店,18983848907
42,辽宁北镇市十字街1号1楼,adidas,北镇市,北镇市十字街1号运动表现店,辽宁,运动表现店,
43,天津天津市南京路39号国贸1楼,adidas,天津市,天津市南京路国贸三叶草,天津,三叶草店,58531692
44,云南景洪市勐养路8号1楼,adidas,景洪市,景洪市勐养路运动休闲店,云南,运动休闲店,13708613434
45,四川南部县体育路126号1楼,adidas,南部县,南部县体育路运动休闲店,四川,运动休闲店,13890791658
46,上海上海市翔川路川沙百联1楼,adidas,上海市,上海市浦东川沙百联三叶草,上海,三叶草店,56294995
47,四川成都市建设路2号伊藤洋华堂4楼,adidas,成都市,成都市伊藤洋华堂建设路店跑步店,四川,跑步店,18190684925
48,辽宁沈阳市中街路190号金利来商厦2楼,adidas,沈阳市,沈阳市中街路运动汇篮球店,辽宁,篮球店,13998205321
49,黑龙江哈尔滨市中央大街232号万达购物广场1楼,adidas,哈尔滨市,哈尔滨市中央大街万达篮球店,黑龙江,篮球店,13836168679
50,北京北京市北清路1号永旺2楼,adidas,北京市,北京市北清路永旺国际篮球篮球店,北京,篮球店,13661294671
51,四川成都市春熙路8号群光广场6楼,adidas,成都市,成都市春熙路群光广场篮球店,四川,篮球店,15114069140
